epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,4306.22,0.7088,0.41184,0.9592,0.85548,0.8113,0.85357,0.70456,0.63902,0.52014,1.00023,7.16128e-05,7.16128e-05,7.16128e-05
90,4354.24,0.70703,0.41626,0.95909,0.88064,0.79661,0.85255,0.70687,0.63282,0.51691,0.99497,6.61084e-05,6.61084e-05,6.61084e-05
91,4402.8,0.65654,0.34035,0.92724,0.87037,0.80187,0.85393,0.70526,0.63157,0.5182,0.99524,6.0604e-05,6.0604e-05,6.0604e-05
92,4450.85,0.64119,0.33211,0.92195,0.89402,0.77473,0.85136,0.70535,0.6306,0.52227,0.99678,5.50996e-05,5.50996e-05,5.50996e-05
93,4499.02,0.63169,0.32715,0.91622,0.85826,0.79874,0.84939,0.70422,0.62671,0.52325,0.9948,4.95952e-05,4.95952e-05,4.95952e-05
94,4547.14,0.62319,0.32482,0.91365,0.86975,0.79926,0.85257,0.70696,0.62624,0.51853,0.99355,4.40908e-05,4.40908e-05,4.40908e-05
95,4595.27,0.61622,0.32212,0.90899,0.87661,0.79115,0.85173,0.70784,0.62405,0.51821,0.99392,3.85864e-05,3.85864e-05,3.85864e-05
96,4643.34,0.61239,0.32037,0.90952,0.87588,0.78483,0.8516,0.70548,0.62549,0.52204,0.99546,3.3082e-05,3.3082e-05,3.3082e-05
97,4691.56,0.60792,0.31836,0.90771,0.87796,0.78605,0.85348,0.70658,0.62532,0.51722,0.99508,2.75776e-05,2.75776e-05,2.75776e-05
98,4739.56,0.59859,0.31445,0.9026,0.87735,0.78304,0.85132,0.70587,0.62184,0.51757,0.99119,2.20732e-05,2.20732e-05,2.20732e-05
99,4787.56,0.59336,0.31229,0.90028,0.87122,0.78959,0.85321,0.70733,0.6218,0.51884,0.99199,1.65688e-05,1.65688e-05,1.65688e-05
100,4835.57,0.59053,0.31124,0.90133,0.87578,0.78747,0.85467,0.70904,0.62208,0.518,0.99212,1.10644e-05,1.10644e-05,1.10644e-05
