epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,74180.5,0.53112,0.30058,0.92201,0.98298,0.97943,0.99194,0.88054,0.41672,0.26574,0.88269,7.50834e-05,7.50834e-05,7.50834e-05
141,74675.9,0.50757,0.26304,0.89815,0.97465,0.98543,0.9927,0.88079,0.42639,0.26792,0.88823,6.9084e-05,6.9084e-05,6.9084e-05
142,75187.1,0.48247,0.25347,0.89085,0.97079,0.97856,0.99303,0.88432,0.41274,0.25875,0.88376,6.30846e-05,6.30846e-05,6.30846e-05
143,75679.3,0.48076,0.25328,0.88768,0.9741,0.98937,0.99152,0.88176,0.41621,0.26491,0.88494,5.70852e-05,5.70852e-05,5.70852e-05
144,76203.7,0.46618,0.24805,0.87929,0.97491,0.98707,0.99126,0.8831,0.41685,0.2621,0.88285,5.10858e-05,5.10858e-05,5.10858e-05
145,76647.2,0.46,0.24366,0.88034,0.97619,0.9869,0.99094,0.88306,0.41669,0.25938,0.87615,4.50864e-05,4.50864e-05,4.50864e-05
146,77177.4,0.4684,0.24764,0.87994,0.9737,0.98416,0.9925,0.8797,0.41944,0.25574,0.87862,3.9087e-05,3.9087e-05,3.9087e-05
147,77678.6,0.46599,0.2468,0.87887,0.97897,0.98167,0.99253,0.87513,0.41968,0.25725,0.87944,3.30876e-05,3.30876e-05,3.30876e-05
148,78225.8,0.45504,0.24307,0.87688,0.97766,0.98172,0.99237,0.87559,0.42051,0.25394,0.88141,2.70882e-05,2.70882e-05,2.70882e-05
149,78673.5,0.45825,0.24118,0.87414,0.98055,0.97698,0.99259,0.87747,0.41197,0.256,0.87697,2.10888e-05,2.10888e-05,2.10888e-05
150,79196.2,0.46133,0.24485,0.88339,0.97557,0.98391,0.99235,0.87643,0.41118,0.25904,0.87735,1.50894e-05,1.50894e-05,1.50894e-05
