                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.1449,                 1.1396,                 2.0142,                0.87164,                0.81161,                0.90842,                0.82139,                 1.0378,                 1.1914,                  1.924,              0.0001469,              0.0001469,              0.0001469
                     60,                 1.1396,                 1.1183,                 2.0116,                0.83324,                0.85571,                0.90522,                0.81077,                  1.067,                 1.1269,                 1.9544,             0.00014349,             0.00014349,             0.00014349
                     61,                  1.132,                 1.1132,                 2.0088,                0.89302,                 0.8399,                0.91373,                0.82466,                 1.0284,                 1.0716,                 1.9204,             0.00014007,             0.00014007,             0.00014007
                     62,                 1.1263,                 1.0954,                 2.0074,                0.84427,                0.83639,                0.90109,                0.81405,                 1.0188,                 1.2102,                 1.9116,             0.00013665,             0.00013665,             0.00013665
                     63,                 1.1292,                  1.118,                 2.0095,                0.88355,                0.80228,                0.90471,                0.81385,                 1.0356,                 1.1574,                 1.9277,             0.00013324,             0.00013324,             0.00013324
                     64,                 1.1227,                 1.0853,                 2.0025,                0.83882,                0.82378,                0.90264,                0.81308,                 1.0312,                 1.1763,                 1.9263,             0.00012982,             0.00012982,             0.00012982
                     65,                 1.1132,                 1.0741,                 1.9941,                0.86276,                 0.8359,                0.89853,                0.80868,                 1.0315,                 1.1931,                  1.928,             0.00012641,             0.00012641,             0.00012641
                     66,                  1.105,                 1.0778,                  1.997,                0.85777,                 0.8298,                0.90087,                0.81503,                 1.0381,                 1.1867,                 1.9278,             0.00012299,             0.00012299,             0.00012299
                     67,                    1.1,                 1.0569,                 1.9934,                0.86787,                0.85754,                0.91949,                0.82834,                 1.0276,                 1.1153,                 1.9421,             0.00011958,             0.00011958,             0.00011958
                     68,                 1.0956,                 1.0437,                 1.9949,                0.87445,                0.84653,                0.92185,                0.82832,                 1.0397,                 1.0581,                 1.9523,             0.00011616,             0.00011616,             0.00011616
                     69,                 1.0895,                 1.0379,                 1.9897,                0.85677,                0.86225,                 0.9239,                0.82871,                 1.0328,                 1.0373,                 1.9353,             0.00011275,             0.00011275,             0.00011275
                     70,                 1.0892,                 1.0356,                 1.9876,                0.80279,                0.85618,                0.91713,                 0.8254,                 1.0593,                  1.139,                 1.9628,             0.00010933,             0.00010933,             0.00010933
                     71,                 1.1006,                 1.0297,                 1.9932,                0.85581,                0.81091,                0.91381,                0.82191,                 1.0495,                 1.1392,                 1.9381,             0.00010592,             0.00010592,             0.00010592
                     72,                 1.0898,                 1.0168,                 1.9879,                0.85375,                0.83661,                0.91768,                0.83078,                 1.0224,                 1.0566,                 1.9255,              0.0001025,              0.0001025,              0.0001025
