epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,12145.8,0.51135,0.32325,0.966,0.99455,0.99149,0.99427,0.9589,0.31465,0.1691,0.82525,0.004456,0.004456,0.004456
114,12253.4,0.50243,0.31897,0.95832,0.98637,0.99628,0.99432,0.95883,0.30886,0.17011,0.82062,0.0044065,0.0044065,0.0044065
115,12347.5,0.49769,0.32078,0.95599,0.98842,0.99803,0.9944,0.96106,0.30838,0.16599,0.81926,0.004357,0.004357,0.004357
116,12442.4,0.49421,0.31858,0.95347,0.9921,0.99551,0.99443,0.95887,0.31362,0.16769,0.82235,0.0043075,0.0043075,0.0043075
117,12542.6,0.49945,0.3175,0.95493,0.99168,0.99512,0.9944,0.96123,0.30427,0.16911,0.81705,0.004258,0.004258,0.004258
118,12636.2,0.49857,0.32154,0.95612,0.99263,0.99607,0.99446,0.96485,0.30019,0.1648,0.8165,0.0042085,0.0042085,0.0042085
119,12731.1,0.49662,0.32271,0.95661,0.99359,0.99553,0.99434,0.96396,0.30179,0.16297,0.81932,0.004159,0.004159,0.004159
120,12832,0.50277,0.32489,0.95915,0.99327,0.9936,0.99437,0.96208,0.2986,0.16277,0.81875,0.0041095,0.0041095,0.0041095
121,12925.7,0.48783,0.31105,0.94961,0.99026,0.99725,0.99443,0.96496,0.29718,0.16337,0.81388,0.00406,0.00406,0.00406
122,13020.2,0.49002,0.31716,0.95011,0.99134,0.99766,0.99426,0.9627,0.29584,0.16476,0.81383,0.0040105,0.0040105,0.0040105
123,13119.4,0.4928,0.31939,0.95854,0.98972,0.99688,0.99425,0.96539,0.296,0.16538,0.81985,0.003961,0.003961,0.003961
124,13213.2,0.47804,0.30754,0.94498,0.99126,0.99543,0.99422,0.96599,0.29,0.16224,0.81614,0.0039115,0.0039115,0.0039115
125,13308.5,0.48224,0.31011,0.94835,0.98883,0.99323,0.99426,0.96724,0.28799,0.16347,0.81377,0.003862,0.003862,0.003862
126,13410.4,0.47487,0.31499,0.94557,0.99141,0.99163,0.99427,0.96906,0.2847,0.15936,0.81143,0.0038125,0.0038125,0.0038125
127,13503.6,0.46899,0.30115,0.94683,0.98823,0.99665,0.99383,0.96883,0.28542,0.15856,0.81205,0.003763,0.003763,0.003763
128,13598.7,0.47384,0.30608,0.94562,0.99098,0.99476,0.99392,0.96753,0.28358,0.15925,0.80839,0.0037135,0.0037135,0.0037135
129,13701.1,0.47309,0.30167,0.94861,0.9911,0.99319,0.9944,0.96919,0.28151,0.1595,0.80869,0.003664,0.003664,0.003664
130,13794.6,0.47129,0.30352,0.94826,0.99141,0.99442,0.99397,0.96842,0.28488,0.16157,0.81314,0.0036145,0.0036145,0.0036145
